frame_num,person_id,bb_xmin,bb_ymin,bb_height,bb_width,age_min,age_max,age_actual,gender
49,0,101,204,48,48,,,28.0,F
49,1,229,362,38,38,,,26.0,M
50,0,93,203,46,46,,,28.0,F
50,1,231,372,39,39,,,21.0,M
51,0,81,214,44,44,,,24.0,F
51,1,228,383,43,43,,,26.0,M
52,0,72,223,48,48,,,28.0,F
52,1,234,385,44,44,,,28.0,M
53,0,72,223,48,48,,,28.0,F
53,1,234,385,44,44,,,28.0,M
54,0,74,225,54,54,,,36.0,F
54,1,254,403,45,45,,,28.0,M
55,0,90,237,57,57,,,27.0,F
55,1,274,403,41,41,,,27.0,M
56,0,118,242,55,55,,,27.0,F
56,1,282,419,42,42,,,25.0,M
57,0,141,242,56,56,,,30.0,F
57,1,287,426,44,44,,,27.0,M
58,0,154,257,59,59,,,13.0,F
58,1,307,440,47,47,,,28.0,M
59,0,154,257,59,59,,,12.0,F
59,1,307,440,47,47,,,28.0,M
60,0,168,267,55,55,,,30.0,F
60,1,342,449,45,45,,,11.0,M
61,0,182,271,60,60,,,22.0,F
61,1,364,457,48,48,,,14.0,M
61,2,122,74,47,47,,,39.0,F
62,0,205,285,62,62,,,22.0,F
62,1,384,471,46,46,,,26.0,M
63,0,243,297,63,63,,,17.0,F
63,1,409,479,45,45,,,29.0,M
64,0,278,301,63,63,,,20.0,M
64,1,452,499,44,44,,,30.0,M
65,0,278,301,63,63,,,20.0,M
65,1,452,499,44,44,,,30.0,M
66,0,303,316,64,64,,,28.0,F
66,1,162,672,107,107,,,29.0,M
66,2,488,505,45,45,,,29.0,M
67,0,330,331,63,63,,,28.0,F
67,1,508,528,49,49,,,27.0,M
67,2,324,69,45,45,,,37.0,M
68,0,358,338,64,64,,,30.0,F
68,1,533,537,50,50,,,25.0,M
69,0,390,349,66,66,,,30.0,F
69,1,42,624,96,96,,,28.0,M
70,0,438,362,64,64,,,30.0,F
70,1,17,616,84,84,,,25.0,M
70,2,412,248,47,47,,,29.0,F
70,3,634,573,57,57,,,23.0,M
71,0,438,362,64,64,,,30.0,F
71,1,17,616,84,84,,,25.0,M
71,2,412,248,47,47,,,29.0,F
71,3,634,573,57,57,,,23.0,M
72,0,475,368,69,69,,,35.0,F
72,1,668,586,58,58,,,26.0,M
72,2,330,257,70,70,,,18.0,M
73,0,506,384,69,69,,,28.0,F
73,1,698,606,63,63,,,22.0,M
74,0,535,402,68,68,,,35.0,F
74,1,186,263,64,64,,,27.0,M
74,2,742,619,60,60,,,27.0,M
74,3,470,113,46,46,,,32.0,M
75,0,561,413,66,66,,,38.0,F
75,1,102,255,52,52,,,32.0,F
75,2,790,649,60,60,,,7.0,M
75,3,113,453,78,78,,,28.0,F
76,0,581,430,66,66,,,36.0,M
76,1,814,655,57,57,,,20.0,M
76,2,455,128,55,55,,,29.0,M
76,3,21,252,54,54,,,24.0,F
76,4,43,455,83,83,,,28.0,F
76,5,77,370,44,44,,,29.0,M
77,0,581,430,66,66,,,36.0,M
77,1,814,655,57,57,,,20.0,M
77,2,455,128,55,55,,,29.0,M
77,3,21,252,54,54,,,24.0,F
77,4,43,455,83,83,,,28.0,F
77,5,77,370,44,44,,,29.0,M
78,0,597,454,72,72,,,35.0,F
78,1,809,687,60,60,,,21.0,M
78,2,8,391,94,94,,,37.0,F
79,0,604,459,73,73,,,37.0,F
79,1,454,95,50,50,,,32.0,M
79,2,799,710,60,60,,,19.0,M
80,0,600,479,74,74,,,39.0,F
81,0,579,501,75,75,,,39.0,F
82,0,549,518,79,79,,,35.0,F
83,0,549,518,79,79,,,35.0,F
84,0,529,541,79,79,,,40.0,F
84,1,517,167,55,55,,,29.0,F
85,0,488,580,95,95,,,41.0,F
85,1,513,156,54,54,,,27.0,M
86,0,437,592,100,100,,,41.0,F
87,0,467,138,53,53,,,45.0,M
87,1,521,167,55,55,,,3.0,M
87,2,364,622,105,105,,,40.0,F
88,0,457,151,56,56,,,28.0,M
88,1,531,181,63,63,,,29.0,M
88,2,282,661,111,111,,,41.0,F
89,0,458,151,55,55,,,28.0,M
89,1,531,181,63,63,,,29.0,M
89,2,282,662,113,113,,,42.0,F
90,0,455,164,59,59,,,28.0,M
90,1,192,680,109,109,,,40.0,F
90,2,544,183,56,56,,,29.0,M
91,0,451,163,63,63,,,27.0,M
91,1,106,720,121,121,,,41.0,F
92,0,437,170,61,61,,,16.0,M
93,0,403,188,63,63,,,29.0,F
94,0,357,187,66,66,,,29.0,M
94,1,856,616,123,123,,,10.0,F
95,0,357,187,66,66,,,29.0,M
95,1,857,615,122,122,,,9.0,F
96,0,325,193,69,69,,,28.0,F
97,0,307,211,68,68,,,27.0,M
97,1,744,121,48,48,,,39.0,F
98,0,300,218,69,69,,,28.0,M
98,1,736,123,48,48,,,46.0,F
98,2,568,477,44,44,,,22.0,M
99,0,720,124,47,47,,,41.0,F
102,0,204,251,73,73,,,20.0,M
102,1,851,339,45,45,,,29.0,M
103,0,157,244,71,71,,,19.0,M
104,0,120,252,77,77,,,19.0,F
105,0,84,270,75,75,,,21.0,F
105,1,577,150,51,51,,,16.0,F
106,0,56,286,81,81,,,23.0,M
106,1,557,157,53,53,,,30.0,F
107,0,56,286,81,81,,,22.0,M
107,1,557,157,53,53,,,30.0,F
108,0,29,290,80,80,,,23.0,M
108,1,545,158,50,50,,,25.0,F
109,0,0,307,84,71,,,29.0,M
109,1,549,159,48,48,,,24.0,M
110,0,556,162,47,47,,,18.0,M
110,1,186,337,76,76,,,31.0,F
111,0,564,162,46,46,,,38.0,M
112,0,566,162,48,48,,,40.0,M
113,0,565,162,49,49,,,40.0,M
114,0,91,363,74,74,,,12.0,F
114,1,567,161,49,49,,,40.0,F
114,2,421,473,40,40,,,20.0,F
115,0,583,161,50,50,,,40.0,F
116,0,597,160,52,52,,,37.0,M
117,0,602,160,50,50,,,33.0,F
118,0,603,162,50,50,,,42.0,F
118,1,215,416,42,42,,,19.0,M
119,0,603,162,50,50,,,42.0,F
119,1,215,416,42,42,,,19.0,M
120,0,41,437,79,79,,,10.0,M
120,1,594,167,52,52,,,36.0,F
